MA	2024	 4	    5274296.50	          0.00	          0.00	CIDE/Combustível    	CIDE-Combustíveis   	
MA	2024	 4	        391.05	          0.00	          0.00	IOF Ouro            	IOF-Ouro            	
MA	2024	 4	  382910176.00	   93561240.00	  327952416.00	FPE                 	FPE                 	
MA	2024	 4	    3206295.75	    1496273.75	     335841.81	IPI-EXP             	IPI-Exp             	
MA	2024	 4	   11631248.00	    2821049.50	   10082982.00	FPM                 	FUNDEB              	
MA	2024	 4	     157728.63	      73606.82	      16521.23	IPI-EXP             	FUNDEB              	
MA	2024	 4	      11405.23	       3538.09	       1509.98	ITR                 	FUNDEB              	
MA	2024	 4	     744703.06	    2302408.75	     829283.06	IPVA                	FUNDEB              	
MA	2024	 4	       8723.75	      46996.73	      25250.88	ITCMD               	FUNDEB              	
MA	2024	 4	    1376748.25	   14054698.00	   30822492.00	ICMS                	FUNDEB              	
MA	2024	 4	   18836666.00	    4602598.50	   16133105.00	FPE                 	FUNDEB              	
MA	2024	 4	          0.00	    1055665.75	          0.00	ANP                 	Royalties           	
MA	2024	 4	          0.00	          0.00	    5188514.50	FEP                 	Royalties           	
MA	2024	 4	          0.00	          0.00	     235940.53	CFEM                	Royalties           	
MA	2024	 4	     344149.63	          0.00	          0.00	CFH                 	Royalties           	
MA	2024	 4	          0.00	          0.00	    5910513.00	LC 176/2020 (ADO25) 	LC 176/2020 (ADO25) 	
MA	2024	 4	          0.00	          0.00	   62333176.00	COUN VAAF           	FUNDEB              	
MG	2024	 4	   17203950.00	          0.00	          0.00	CIDE/Combustível    	CIDE-Combustíveis   	
MG	2024	 4	  249585056.00	   59437648.00	  222701248.00	FPE                 	FPE                 	
MG	2024	 4	   34945504.00	   16307928.00	    3660349.00	IPI-EXP             	IPI-Exp             	
MG	2024	 4	   84338216.00	   20455438.00	   73111728.00	FPM                 	FUNDEB              	
MG	2024	 4	    4015824.25	    1874054.25	     420635.28	IPI-EXP             	FUNDEB              	
MG	2024	 4	     201276.69	      69185.95	      90253.65	ITR                 	FUNDEB              	
MG	2024	 4	   34409732.00	   17402650.00	   22492012.00	IPVA                	FUNDEB              	
MG	2024	 4	    7939280.50	    2182812.00	    5656216.50	ITCMD               	FUNDEB              	
MG	2024	 4	  133781416.00	  363910112.00	  154675888.00	ICMS                	FUNDEB              	
MG	2024	 4	   28681506.00	    6830381.50	   25592104.00	FPE                 	FUNDEB              	
MG	2024	 4	          0.00	          0.00	    4150982.25	FEP                 	Royalties           	
MG	2024	 4	          0.00	          0.00	   41577940.00	CFEM                	Royalties           	
MG	2024	 4	    9226676.00	          0.00	          0.00	CFH                 	Royalties           	
MG	2024	 4	          0.00	    2111022.50	          0.00	ITA                 	Royalties           	
MG	2024	 4	          0.00	          0.00	   33126552.00	LC 176/2020 (ADO25) 	LC 176/2020 (ADO25) 	
MS	2024	 4	    4384253.50	          0.00	          0.00	CIDE/Combustível    	CIDE-Combustíveis   	
MS	2024	 4	   70436688.00	   17236652.00	   60177044.00	FPE                 	FPE                 	
MS	2024	 4	    5780216.50	    2697438.50	     605445.81	IPI-EXP             	IPI-Exp             	
MS	2024	 4	    7248522.50	    1758060.75	    6283652.50	FPM                 	FUNDEB              	
MS	2024	 4	     511934.34	     238903.06	      53622.30	IPI-EXP             	FUNDEB              	
MS	2024	 4	     216572.81	     107204.27	      96273.28	ITR                 	FUNDEB              	
MS	2024	 4	    3436392.00	    1129026.38	    1665893.75	IPVA                	FUNDEB              	
MS	2024	 4	     837019.19	     819700.81	    2948237.75	ITCMD               	FUNDEB              	
MS	2024	 4	   14864758.00	   32620136.00	   36969204.00	ICMS                	FUNDEB              	
MS	2024	 4	    6238341.00	    1526592.50	    5329679.00	FPE                 	FUNDEB              	
MS	2024	 4	          0.00	          0.00	     941516.38	FEP                 	Royalties           	
MS	2024	 4	          0.00	          0.00	     744400.00	CFEM                	Royalties           	
MS	2024	 4	    1672185.50	          0.00	          0.00	CFH                 	Royalties           	
MS	2024	 4	          0.00	     429873.66	          0.00	ITA                 	Royalties           	
MS	2024	 4	          0.00	          0.00	   10085451.00	LC 176/2020 (ADO25) 	LC 176/2020 (ADO25) 	
MT	2024	 4	    6709491.50	          0.00	          0.00	CIDE/Combustível    	CIDE-Combustíveis   	
MT	2024	 4	     134245.30	      52555.57	      81978.40	IOF Ouro            	IOF-Ouro            	
MT	2024	 4	  119499000.00	   29539854.00	  100376016.00	FPE                 	FPE                 	
MT	2024	 4	    6625421.00	    3091868.00	     693976.31	IPI-EXP             	IPI-Exp             	
MT	2024	 4	   11231223.00	    2724027.00	    9736206.00	FPM                 	FUNDEB              	
MT	2024	 4	     738585.56	     344673.81	      77362.69	IPI-EXP             	FUNDEB              	
MT	2024	 4	     372556.31	     198268.19	     162508.80	ITR                 	FUNDEB              	
MT	2024	 4	    5704655.50	    3210730.50	    5084742.00	IPVA                	FUNDEB              	
MT	2024	 4	    1163843.38	     120734.25	     507476.28	ITCMD               	FUNDEB              	
MT	2024	 4	   26764320.00	   89779056.00	   39145820.00	ICMS                	FUNDEB              	
MT	2024	 4	   13321453.00	    3293030.00	   11189670.00	FPE                 	FUNDEB              	
MT	2024	 4	          0.00	          0.00	    1449589.75	FEP                 	Royalties           	
MT	2024	 4	          0.00	          0.00	    1064069.38	CFEM                	Royalties           	
MT	2024	 4	    1931733.63	          0.00	          0.00	CFH                 	Royalties           	
MT	2024	 4	          0.00	          0.00	   43354540.00	LC 176/2020 (ADO25) 	LC 176/2020 (ADO25) 	
PA	2024	 4	    5402849.00	          0.00	          0.00	CIDE/Combustível    	CIDE-Combustíveis   	
PA	2024	 4	       4951.91	        201.15	       1550.40	IOF Ouro            	IOF-Ouro            	
PA	2024	 4	  331807552.00	   80192264.00	  289284192.00	FPE                 	FPE                 	
PA	2024	 4	   18303060.00	    8541442.00	    1917144.75	IPI-EXP             	IPI-Exp             	
PA	2024	 4	   12369475.00	    3000099.75	   10722942.00	FPM                 	FUNDEB              	
PA	2024	 4	    1189318.75	     555016.25	     124574.56	IPI-EXP             	FUNDEB              	
PA	2024	 4	      20362.39	       8959.55	       9992.20	ITR                 	FUNDEB              	
PA	2024	 4	    3864374.50	    2626514.25	          0.00	IPVA                	FUNDEB              	
PA	2024	 4	     176927.19	     125187.05	          0.00	ITCMD               	FUNDEB              	
PA	2024	 4	   20372218.00	   78424920.00	          0.00	ICMS                	FUNDEB              	
PA	2024	 4	   21560596.00	    5210831.00	   18797462.00	FPE                 	FUNDEB              	
PA	2024	 4	          0.00	          0.00	    4934853.50	FEP                 	Royalties           	
PA	2024	 4	          0.00	          0.00	   34189804.00	CFEM                	Royalties           	
PA	2024	 4	    4264663.50	          0.00	          0.00	CFH                 	Royalties           	
PA	2024	 4	          0.00	          0.00	   18131576.00	LC 176/2020 (ADO25) 	LC 176/2020 (ADO25) 	
PA	2024	 4	          0.00	          0.00	    4615899.50	COUN VAAR           	FUNDEB              	
PA	2024	 4	          0.00	          0.00	   76323056.00	COUN VAAF           	FUNDEB              	
PB	2024	 4	    3096867.25	          0.00	          0.00	CIDE/Combustível    	CIDE-Combustíveis   	
PB	2024	 4	  254703424.00	   62157748.00	  218592480.00	FPE                 	FPE                 	
PB	2024	 4	     208214.13	      97166.75	      21809.28	IPI-EXP             	IPI-Exp             	
PB	2024	 4	   13915050.00	    3374963.50	   12062781.00	FPM                 	FUNDEB              	
PB	2024	 4	      15650.83	       7303.76	       1639.34	IPI-EXP             	FUNDEB              	
PB	2024	 4	       2364.31	        591.54	        497.50	ITR                 	FUNDEB              	
PB	2024	 4	    2364411.50	     776198.63	    1464484.25	IPVA                	FUNDEB              	
PB	2024	 4	     132460.88	      52716.65	     208433.05	ITCMD               	FUNDEB              	
PB	2024	 4	    4280950.50	   22245194.00	   22097934.00	ICMS                	FUNDEB              	
PB	2024	 4	   19145314.00	    4672216.50	   16430959.00	FPE                 	FUNDEB              	
PB	2024	 4	          0.00	          0.00	    3489638.25	FEP                 	Royalties           	
PB	2024	 4	          0.00	          0.00	     122998.18	CFEM                	Royalties           	
PB	2024	 4	          0.00	          0.00	     359375.00	LC 176/2020 (ADO25) 	LC 176/2020 (ADO25) 	
PB	2024	 4	          0.00	          0.00	    1982732.50	COUN VAAR           	FUNDEB              	
PB	2024	 4	          0.00	          0.00	    7599322.00	COUN VAAF           	FUNDEB              	
PE	2024	 4	    5330211.50	          0.00	          0.00	CIDE/Combustível    	CIDE-Combustíveis   	
PE	2024	 4	          0.00	        931.66	         25.17	IOF Ouro            	IOF-Ouro            	
PE	2024	 4	  371025088.00	   90076896.00	  321126944.00	FPE                 	FPE                 	
PE	2024	 4	    3327205.00	    1552698.25	     348506.41	IPI-EXP             	IPI-Exp             	
PE	2024	 4	   23765480.00	    5764093.50	   20601994.00	FPM                 	FUNDEB              	
PE	2024	 4	     285550.88	     133257.31	      29909.88	IPI-EXP             	FUNDEB              	
PE	2024	 4	      11799.39	       1766.29	       1287.54	ITR                 	FUNDEB              	
PE	2024	 4	    4798971.00	    2490575.75	    3727339.25	IPVA                	FUNDEB              	
PE	2024	 4	          0.00	    1944104.50	          0.00	ITCMD               	FUNDEB              	
PE	2024	 4	   53996868.00	   40410488.00	   63360372.00	ICMS                	FUNDEB              	
PE	2024	 4	   31842500.00	    7730672.50	   27560090.00	FPE                 	FUNDEB              	
PE	2024	 4	          0.00	          0.00	    5316030.50	FEP                 	Royalties           	
PE	2024	 4	          0.00	          0.00	     116183.71	CFEM                	Royalties           	
PE	2024	 4	     488336.78	          0.00	          0.00	CFH                 	Royalties           	
PE	2024	 4	          0.00	          0.00	    1857062.50	LC 176/2020 (ADO25) 	LC 176/2020 (ADO25) 	
PE	2024	 4	          0.00	          0.00	    5079911.50	COUN VAAR           	FUNDEB              	
PE	2024	 4	          0.00	          0.00	   25266040.00	COUN VAAF           	FUNDEB              	
