9 %2s %4d %2d %14.2lf %14.2lf %14.2lf %-20s %-20s %-2s
GO;2024;04;8342817.38;0;0;CIDE/Combustível;CIDE-Combustíveis;
GO;2024;04;153778505.13;37230213.09;133697694.59;FPE;FPE;
GO;2024;04;6655335.07;3105827.94;697109.65;IPI-EXP;IPI-Exp;
GO;2024;04;21258025.23;5155933.01;18428313.26;FPM;FUNDEB;
GO;2024;04;671558.24;313394.38;70342.07;IPI-EXP;FUNDEB;
GO;2024;04;208957.35;132138.86;149856.11;ITR;FUNDEB;
GO;2024;04;2116066.22;6818706.51;3552814.87;IPVA;FUNDEB;
GO;2024;04;2279987.21;2313321.42;1585424.29;ITCMD;FUNDEB;
GO;2024;04;36088105.78;155229354.74;7625542.11;ICMS;FUNDEB;
GO;2024;04;15517058.18;3756723.87;13490799.02;FPE;FUNDEB;
GO;2024;04;0;0;2254993.29;FEP;Royalties;
GO;2024;04;0;0;2019471.38;CFEM;Royalties;
GO;2024;04;4891078.8;0;0;CFH;Royalties;
GO;2024;04;0;829243.04;0;ITA;Royalties;
GO;2024;04;0;0;16100576.44;LC 176/2020 (ADO25);LC 176/2020 (ADO25);
GO;2024;04;0;0;5290383.92;COUN VAAR;FUNDEB;
MA;2024;04;5274296.36;0;0;CIDE/Combustível;CIDE-Combustíveis;
MA;2024;04;391.05;0;0;IOF Ouro;IOF-Ouro;
MA;2024;04;382910186.29;93561240.35;327952428.48;FPE;FPE;
MA;2024;04;3206295.74;1496273.71;335841.8;IPI-EXP;IPI-Exp;
MA;2024;04;11631248.23;2821049.49;10082981.73;FPM;FUNDEB;
MA;2024;04;157728.62;73606.82;16521.23;IPI-EXP;FUNDEB;
MA;2024;04;11405.23;3538.09;1509.98;ITR;FUNDEB;
MA;2024;04;744703.06;2302408.67;829283.07;IPVA;FUNDEB;
MA;2024;04;8723.75;46996.73;25250.88;ITCMD;FUNDEB;
MA;2024;04;1376748.19;14054698.1;30822492.84;ICMS;FUNDEB;
MA;2024;04;18836666.15;4602598.54;16133105.45;FPE;FUNDEB;
MA;2024;04;0;1055665.71;0;ANP;Royalties;
MA;2024;04;0;0;5188514.44;FEP;Royalties;
MA;2024;04;0;0;235940.53;CFEM;Royalties;
MA;2024;04;344149.63;0;0;CFH;Royalties;
MA;2024;04;0;0;5910512.88;LC 176/2020 (ADO25);LC 176/2020 (ADO25);
MA;2024;04;0;0;62333175.66;COUN VAAF;FUNDEB;
MG;2024;04;17203950.75;0;0;CIDE/Combustível;CIDE-Combustíveis;
MG;2024;04;249585059.56;59437648.29;222701243.62;FPE;FPE;
MG;2024;04;34945505.56;16307928.31;3660348.99;IPI-EXP;IPI-Exp;
MG;2024;04;84338212.88;20455438.44;73111729.29;FPM;FUNDEB;
MG;2024;04;4015824.21;1874054.27;420635.29;IPI-EXP;FUNDEB;
MG;2024;04;201276.68;69185.95;90253.65;ITR;FUNDEB;
MG;2024;04;34409732.13;17402649.13;22492011.97;IPVA;FUNDEB;
MG;2024;04;7939280.61;2182811.99;5656216.52;ITCMD;FUNDEB;
MG;2024;04;133781417.94;363910126.59;154675885.26;ICMS;FUNDEB;
MG;2024;04;28681505.45;6830381.66;25592104.69;FPE;FUNDEB;
MG;2024;04;0;0;4150982.33;FEP;Royalties;
MG;2024;04;0;0;41577939.78;CFEM;Royalties;
MG;2024;04;9226675.89;0;0;CFH;Royalties;
MG;2024;04;0;2111022.43;0;ITA;Royalties;
MG;2024;04;0;0;33126551.7;LC 176/2020 (ADO25);LC 176/2020 (ADO25);
MS;2024;04;4384253.26;0;0;CIDE/Combustível;CIDE-Combustíveis;
MS;2024;04;70436688.66;17236652.46;60177045.44;FPE;FPE;
MS;2024;04;5780216.35;2697438.56;605445.8;IPI-EXP;IPI-Exp;
MS;2024;04;7248522.33;1758060.73;6283652.27;FPM;FUNDEB;
MS;2024;04;511934.35;238903.06;53622.3;IPI-EXP;FUNDEB;
MS;2024;04;216572.81;107204.27;96273.28;ITR;FUNDEB;
MS;2024;04;3436392.07;1129026.39;1665893.8;IPVA;FUNDEB;
MS;2024;04;837019.16;819700.84;2948237.64;ITCMD;FUNDEB;
MS;2024;04;14864757.74;32620136.44;36969204.61;ICMS;FUNDEB;
MS;2024;04;6238341.17;1526592.47;5329678.93;FPE;FUNDEB;
MS;2024;04;0;0;941516.38;FEP;Royalties;
MS;2024;04;0;0;744400.03;CFEM;Royalties;
MS;2024;04;1672185.52;0;0;CFH;Royalties;
MS;2024;04;0;429873.66;0;ITA;Royalties;
MS;2024;04;0;0;10085450.85;LC 176/2020 (ADO25);LC 176/2020 (ADO25);
MT;2024;04;6709491.59;0;0;CIDE/Combustível;CIDE-Combustíveis;
MT;2024;04;134245.3;52555.57;81978.4;IOF Ouro;IOF-Ouro;
MT;2024;04;119498999.57;29539854.16;100376014.02;FPE;FPE;
MT;2024;04;6625421.03;3091868.03;693976.32;IPI-EXP;IPI-Exp;
MT;2024;04;11231223.46;2724027.1;9736205.52;FPM;FUNDEB;
MT;2024;04;738585.59;344673.82;77362.69;IPI-EXP;FUNDEB;
MT;2024;04;372556.31;198268.19;162508.8;ITR;FUNDEB;
MT;2024;04;5704655.74;3210730.6;5084741.8;IPVA;FUNDEB;
MT;2024;04;1163843.37;120734.25;507476.29;ITCMD;FUNDEB;
MT;2024;04;26764319.12;89779057.79;39145819.26;ICMS;FUNDEB;
MT;2024;04;13321453.29;3293029.98;11189670.07;FPE;FUNDEB;
MT;2024;04;0;0;1449589.72;FEP;Royalties;
MT;2024;04;0;0;1064069.34;CFEM;Royalties;
MT;2024;04;1931733.6;0;0;CFH;Royalties;
MT;2024;04;0;0;43354541.59;LC 176/2020 (ADO25);LC 176/2020 (ADO25);
PA;2024;04;5402848.97;0;0;CIDE/Combustível;CIDE-Combustíveis;
PA;2024;04;4951.91;201.15;1550.4;IOF Ouro;IOF-Ouro;
PA;2024;04;331807546.18;80192266.68;289284185.84;FPE;FPE;
PA;2024;04;18303060.96;8541441.92;1917144.7;IPI-EXP;IPI-Exp;
PA;2024;04;12369475.37;3000099.69;10722941.73;FPM;FUNDEB;
PA;2024;04;1189318.69;555016.25;124574.56;IPI-EXP;FUNDEB;
PA;2024;04;20362.39;8959.55;9992.2;ITR;FUNDEB;
PA;2024;04;3864374.59;2626514.3;0;IPVA;FUNDEB;
PA;2024;04;176927.18;125187.05;0;ITCMD;FUNDEB;
PA;2024;04;20372218.62;78424917.22;0;ICMS;FUNDEB;
PA;2024;04;21560596.7;5210831.15;18797461.82;FPE;FUNDEB;
PA;2024;04;0;0;4934853.34;FEP;Royalties;
PA;2024;04;0;0;34189803.22;CFEM;Royalties;
PA;2024;04;4264663.42;0;0;CFH;Royalties;
PA;2024;04;0;0;18131576.27;LC 176/2020 (ADO25);LC 176/2020 (ADO25);
PA;2024;04;0;0;4615899.49;COUN VAAR;FUNDEB;
PA;2024;04;0;0;76323055.02;COUN VAAF;FUNDEB;
PB;2024;04;3096867.29;0;0;CIDE/Combustível;CIDE-Combustíveis;
PB;2024;04;254703417.69;62157746.43;218592479.97;FPE;FPE;
PB;2024;04;208214.12;97166.75;21809.28;IPI-EXP;IPI-Exp;
PB;2024;04;13915049.93;3374963.59;12062780.58;FPM;FUNDEB;
PB;2024;04;15650.83;7303.76;1639.34;IPI-EXP;FUNDEB;
PB;2024;04;2364.31;591.54;497.5;ITR;FUNDEB;
PB;2024;04;2364411.6;776198.61;1464484.26;IPVA;FUNDEB;
PB;2024;04;132460.87;52716.65;208433.04;ITCMD;FUNDEB;
